user_id,variant,assigned_date
228,B,2026-08-26
229,B,2026-08-23
230,B,2026-08-28
231,B,2026-08-25
232,A,2026-08-07
233,B,2026-08-30
234,A,2026-08-01
235,B,2026-08-01
236,B,2026-08-25
237,A,2026-08-27
238,A,2026-08-30
239,B,2026-08-25
240,B,2026-08-20
241,B,2026-08-13
242,B,2026-08-09
243,A,2026-08-03
244,A,2026-08-07
245,B,2026-08-06
246,A,2026-08-08
247,B,2026-08-27
248,B,2026-08-09
249,B,2026-08-30
250,B,2026-08-05
251,A,2026-08-01
252,A,2026-08-19
253,A,2026-08-10
254,B,2026-08-12
255,B,2026-08-24
256,B,2026-08-15
257,B,2026-08-27
258,B,2026-08-22
259,A,2026-08-24
260,A,2026-08-09
261,B,2026-08-20
262,A,2026-08-17
263,B,2026-08-30
264,B,2026-08-17
265,A,2026-08-26
266,B,2026-08-20
267,A,2026-08-12
268,B,2026-08-30
269,A,2026-08-07
270,B,2026-08-02
271,B,2026-08-03
272,B,2026-08-17
273,A,2026-08-05
274,A,2026-08-17
275,B,2026-08-24
276,B,2026-08-17
277,B,2026-08-27
278,A,2026-08-17
279,A,2026-08-02
280,B,2026-08-02
281,A,2026-08-28
282,A,2026-08-22
283,A,2026-08-23
284,A,2026-08-05
285,A,2026-08-01
286,A,2026-08-01
287,B,2026-08-19
288,A,2026-08-30
289,B,2026-08-02
290,A,2026-08-21
291,B,2026-08-12
292,B,2026-08-26
293,A,2026-08-06
294,B,2026-08-23
295,B,2026-08-04
296,B,2026-08-23
297,B,2026-08-11
298,A,2026-08-24
299,A,2026-08-27
300,B,2026-08-17
301,A,2026-08-06
302,B,2026-08-24
303,A,2026-08-05
304,B,2026-08-20
305,B,2026-08-02
306,B,2026-08-06
307,B,2026-08-22
308,B,2026-08-11
309,A,2026-08-16
310,A,2026-08-16
311,A,2026-08-01
312,B,2026-08-09
313,A,2026-08-28
314,A,2026-08-27
315,B,2026-08-06
316,B,2026-08-16
317,B,2026-08-29
318,A,2026-08-03
319,B,2026-08-20
320,A,2026-08-28
321,B,2026-08-27
322,A,2026-08-04
323,A,2026-08-19
324,A,2026-08-26
325,B,2026-08-03
326,A,2026-08-19
327,A,2026-08-20
328,B,2026-08-07
329,B,2026-08-20
330,B,2026-08-09
331,B,2026-08-01
332,B,2026-08-08
333,A,2026-08-07
334,B,2026-08-18
335,A,2026-08-08
336,A,2026-08-01
337,B,2026-08-11
338,A,2026-08-28
339,B,2026-08-25
340,A,2026-08-25
341,B,2026-08-18
342,A,2026-08-23
343,A,2026-08-30
344,A,2026-08-10
345,B,2026-08-03
346,B,2026-08-07
347,A,2026-08-28
348,B,2026-08-16
349,A,2026-08-26
350,B,2026-08-16
351,B,2026-08-25
352,A,2026-08-20
353,A,2026-08-28
354,A,2026-08-17
355,A,2026-08-02
356,B,2026-08-01
357,A,2026-08-16
358,B,2026-08-30
359,B,2026-08-12
360,A,2026-08-05
361,A,2026-08-05
362,B,2026-08-27
363,A,2026-08-23
364,A,2026-08-09
365,B,2026-08-09
366,B,2026-08-03
367,A,2026-08-19
368,B,2026-08-16
369,B,2026-08-16
370,B,2026-08-03
371,B,2026-08-20
372,B,2026-08-24
373,A,2026-08-22
374,A,2026-08-24
375,A,2026-08-01
376,B,2026-08-24
377,A,2026-08-20
378,B,2026-08-11
379,A,2026-08-17
380,B,2026-08-08
381,B,2026-08-04
382,A,2026-08-06
383,A,2026-08-08
384,B,2026-08-20
385,B,2026-08-30
386,B,2026-08-03
387,A,2026-08-16
388,B,2026-08-30
389,B,2026-08-25
390,A,2026-08-03
391,A,2026-08-25
392,B,2026-08-29
393,B,2026-08-18
394,B,2026-08-14
395,B,2026-08-18
396,A,2026-08-02
397,A,2026-08-22
398,A,2026-08-03
399,A,2026-08-16
400,A,2026-08-29
401,B,2026-08-09
402,A,2026-08-04
403,B,2026-08-01
404,A,2026-08-04
405,A,2026-08-01
406,B,2026-08-14
407,A,2026-08-21
408,B,2026-08-16
409,B,2026-08-20
410,A,2026-08-24
411,B,2026-08-08
412,A,2026-08-07
413,A,2026-08-03
414,B,2026-08-17
415,B,2026-08-01
416,B,2026-08-16
417,B,2026-08-12
418,B,2026-08-27
419,A,2026-08-19
420,A,2026-08-22
421,A,2026-08-23
422,B,2026-08-22
423,B,2026-08-14
424,B,2026-08-30
425,A,2026-08-06
426,B,2026-08-06
427,A,2026-08-13
428,A,2026-08-19
429,A,2026-08-22
430,B,2026-08-08
431,A,2026-08-27
432,B,2026-08-27
433,B,2026-08-02
434,A,2026-08-21
435,B,2026-08-30
436,A,2026-08-01
437,A,2026-08-28
438,B,2026-08-15
439,A,2026-08-01
440,B,2026-08-05
441,B,2026-08-28
442,A,2026-08-29
443,A,2026-08-16
444,A,2026-08-19
445,A,2026-08-04
446,A,2026-08-03
447,A,2026-08-17
448,A,2026-08-17
449,A,2026-08-12
450,A,2026-08-28
451,A,2026-08-30
452,B,2026-08-29
453,A,2026-08-14
454,B,2026-08-21
455,A,2026-08-06
456,B,2026-08-03
457,A,2026-08-28
458,A,2026-08-09
459,B,2026-08-05
460,A,2026-08-24
461,A,2026-08-29
462,B,2026-08-17
463,A,2026-08-14
464,A,2026-08-21
465,B,2026-08-03
466,B,2026-08-28
467,A,2026-08-01
468,B,2026-08-20
469,B,2026-08-29
470,A,2026-08-21
471,A,2026-08-23
472,B,2026-08-01
473,B,2026-08-03
474,B,2026-08-18
475,B,2026-08-25
476,A,2026-08-10
477,A,2026-08-22
478,B,2026-08-26
479,B,2026-08-03
480,A,2026-08-08
481,A,2026-08-14
482,B,2026-08-24
483,B,2026-08-18
484,B,2026-08-15
485,B,2026-08-22
486,B,2026-08-23
487,B,2026-08-02
488,B,2026-08-27
489,A,2026-08-10
490,A,2026-08-02
491,B,2026-08-26
492,A,2026-08-17
493,B,2026-08-08
494,A,2026-08-01
495,B,2026-08-09
496,B,2026-08-11
497,B,2026-08-22
498,B,2026-08-16
499,A,2026-08-07
500,A,2026-08-29
501,A,2026-08-10
502,B,2026-08-23
503,A,2026-08-26
504,A,2026-08-03
505,B,2026-08-18
506,B,2026-08-25
507,B,2026-08-24
508,B,2026-08-13
509,A,2026-08-28
510,B,2026-08-26
511,A,2026-08-07
512,B,2026-08-25
513,A,2026-08-04
514,A,2026-08-13
515,A,2026-08-20
516,B,2026-08-01
517,B,2026-08-08
518,A,2026-08-14
519,A,2026-08-16
520,A,2026-08-14
521,B,2026-08-12
522,A,2026-08-19
523,B,2026-08-23
524,A,2026-08-15
525,B,2026-08-28
526,A,2026-08-02
527,B,2026-08-02
528,A,2026-08-23
529,A,2026-08-22
530,B,2026-08-19
531,B,2026-08-25
532,A,2026-08-26
533,A,2026-08-30
534,B,2026-08-29
535,B,2026-08-22
536,A,2026-08-26
537,A,2026-08-26
538,A,2026-08-22
539,B,2026-08-17
540,B,2026-08-20
541,B,2026-08-10
542,A,2026-08-06
543,A,2026-08-15
544,A,2026-08-22
545,A,2026-08-11
546,A,2026-08-28
547,B,2026-08-05
548,B,2026-08-01
549,B,2026-08-08
550,A,2026-08-21
551,B,2026-08-28
552,A,2026-08-12
553,B,2026-08-12
554,B,2026-08-05
555,B,2026-08-07
556,A,2026-08-04
557,A,2026-08-06
558,B,2026-08-13
559,A,2026-08-20
560,A,2026-08-30
561,A,2026-08-15
562,B,2026-08-03
563,B,2026-08-23
564,B,2026-08-08
565,B,2026-08-20
566,A,2026-08-16
567,A,2026-08-13
568,B,2026-08-18
569,B,2026-08-28
570,B,2026-08-10
571,B,2026-08-30
572,B,2026-08-19
573,B,2026-08-17
574,A,2026-08-24
575,A,2026-08-19
576,A,2026-08-28
577,A,2026-08-26
578,A,2026-08-23
579,B,2026-08-26
580,A,2026-08-05
581,B,2026-08-26
582,B,2026-08-21
583,A,2026-08-30
584,A,2026-08-23
585,A,2026-08-09
586,A,2026-08-12
587,A,2026-08-21
588,B,2026-08-01
589,B,2026-08-26
590,B,2026-08-26
591,A,2026-08-01
592,B,2026-08-15
593,A,2026-08-02
594,A,2026-08-30
595,A,2026-08-22
596,B,2026-08-16
597,A,2026-08-25
598,B,2026-08-08
599,B,2026-08-13
600,A,2026-08-21
601,B,2026-08-01
602,B,2026-08-16
603,A,2026-08-29
604,A,2026-08-07
605,B,2026-08-05
606,A,2026-08-22
607,B,2026-08-29
608,B,2026-08-23
609,B,2026-08-03
610,A,2026-08-12
611,A,2026-08-26
612,B,2026-08-16
613,A,2026-08-19
614,A,2026-08-05
615,B,2026-08-22
616,A,2026-08-25
617,B,2026-08-29
618,A,2026-08-14
619,B,2026-08-28
620,B,2026-08-05
621,A,2026-08-15
622,A,2026-08-17
623,B,2026-08-30
624,B,2026-08-14
625,A,2026-08-30
626,B,2026-08-20
627,A,2026-08-05
628,A,2026-08-12
629,B,2026-08-16
630,B,2026-08-26
631,B,2026-08-26
632,A,2026-08-16
633,A,2026-08-21
634,A,2026-08-07
635,A,2026-08-04
636,B,2026-08-01
637,A,2026-08-30
638,B,2026-08-30
639,B,2026-08-05
640,A,2026-08-23
641,A,2026-08-26
642,A,2026-08-10
643,B,2026-08-22
644,B,2026-08-05
645,B,2026-08-04
646,B,2026-08-02
647,B,2026-08-20
648,B,2026-08-10
649,A,2026-08-26
650,B,2026-08-19
651,B,2026-08-26
652,B,2026-08-01
653,B,2026-08-24
654,A,2026-08-05
655,B,2026-08-13
656,A,2026-08-04
657,A,2026-08-16
658,A,2026-08-24
659,A,2026-08-16
660,A,2026-08-23
661,A,2026-08-02
662,A,2026-08-17
663,A,2026-08-28
664,A,2026-08-27
665,B,2026-08-20
666,B,2026-08-24
667,B,2026-08-12
668,A,2026-08-18
669,A,2026-08-03
670,A,2026-08-28
671,A,2026-08-01
672,A,2026-08-01
673,B,2026-08-29
674,A,2026-08-19
675,B,2026-08-11
676,A,2026-08-05
677,B,2026-08-12
678,A,2026-08-03
679,A,2026-08-01
680,A,2026-08-01
681,A,2026-08-08
682,A,2026-08-10
683,B,2026-08-11
684,A,2026-08-12
685,B,2026-08-29
686,A,2026-08-13
687,B,2026-08-12
688,A,2026-08-14
689,A,2026-08-02
690,B,2026-08-29
691,B,2026-08-19
692,B,2026-08-18
693,B,2026-08-03
694,B,2026-08-23
695,B,2026-08-17
696,A,2026-08-26
697,B,2026-08-08
698,B,2026-08-29
699,A,2026-08-26
700,B,2026-08-10
701,B,2026-08-26
702,B,2026-08-30
703,A,2026-08-02
704,A,2026-08-19
705,A,2026-08-09
706,A,2026-08-07
707,A,2026-08-04
708,A,2026-08-26
709,B,2026-08-21
710,B,2026-08-18
711,A,2026-08-13
712,A,2026-08-11
713,A,2026-08-29
714,A,2026-08-24
715,B,2026-08-04
716,A,2026-08-25
717,B,2026-08-21
718,A,2026-08-29
719,B,2026-08-25
720,B,2026-08-04
721,B,2026-08-10
722,A,2026-08-05
723,B,2026-08-09
724,A,2026-08-24
725,B,2026-08-03
726,A,2026-08-17
727,A,2026-08-03
728,A,2026-08-16
729,B,2026-08-04
730,A,2026-08-18
731,A,2026-08-17
732,B,2026-08-07
733,A,2026-08-24
734,B,2026-08-23
735,B,2026-08-30
736,B,2026-08-05
737,A,2026-08-12
738,A,2026-08-17
739,B,2026-08-23
740,A,2026-08-13
741,A,2026-08-23
742,B,2026-08-25
743,B,2026-08-03
744,A,2026-08-09
745,A,2026-08-30
746,A,2026-08-17
747,A,2026-08-17
748,B,2026-08-30
749,B,2026-08-20
750,B,2026-08-16
751,B,2026-08-25
752,B,2026-08-22
753,B,2026-08-13
754,B,2026-08-27
755,B,2026-08-19
756,A,2026-08-17
757,B,2026-08-04
758,B,2026-08-12
759,A,2026-08-29
760,B,2026-08-09
761,B,2026-08-19
762,A,2026-08-12
763,A,2026-08-09
764,B,2026-08-07
765,A,2026-08-28
766,A,2026-08-14
767,A,2026-08-20
768,B,2026-08-19
769,B,2026-08-26
770,A,2026-08-15
771,A,2026-08-16
772,B,2026-08-21
773,A,2026-08-05
774,B,2026-08-03
775,B,2026-08-12
776,A,2026-08-25
777,B,2026-08-20
778,A,2026-08-27
779,A,2026-08-21
780,A,2026-08-04
781,B,2026-08-21
782,B,2026-08-23
783,B,2026-08-16
784,A,2026-08-25
785,A,2026-08-07
786,A,2026-08-13
787,B,2026-08-21
788,A,2026-08-10
789,A,2026-08-26
790,B,2026-08-07
791,A,2026-08-14
792,A,2026-08-26
793,A,2026-08-05
794,A,2026-08-03
795,A,2026-08-23
796,A,2026-08-29
797,B,2026-08-11
798,A,2026-08-11
799,A,2026-08-18
800,A,2026-08-15
801,B,2026-08-12
802,A,2026-08-09
803,A,2026-08-10
804,B,2026-08-26
805,B,2026-08-12
806,A,2026-08-17
807,A,2026-08-29
808,A,2026-08-06
809,A,2026-08-07
810,A,2026-08-14
811,A,2026-08-13
812,A,2026-08-08
813,A,2026-08-10
814,A,2026-08-09
815,A,2026-08-18
816,A,2026-08-27
817,B,2026-08-26
818,A,2026-08-02
819,A,2026-08-05
820,B,2026-08-29
821,A,2026-08-05
822,B,2026-08-06
823,B,2026-08-19
824,A,2026-08-08
825,B,2026-08-16
826,A,2026-08-13
827,A,2026-08-01
828,A,2026-08-22
829,B,2026-08-20
830,A,2026-08-17
831,B,2026-08-07
832,A,2026-08-25
833,A,2026-08-13
834,A,2026-08-04
835,B,2026-08-04
836,B,2026-08-06
837,A,2026-08-28
838,A,2026-08-19
839,A,2026-08-29
840,B,2026-08-12
841,A,2026-08-22
842,A,2026-08-07
843,A,2026-08-27
844,A,2026-08-10
845,B,2026-08-26
846,B,2026-08-19
847,A,2026-08-07
848,B,2026-08-30
849,B,2026-08-03
850,B,2026-08-13
851,A,2026-08-13
852,B,2026-08-18
853,B,2026-08-28
854,B,2026-08-30
855,A,2026-08-26
856,A,2026-08-20
857,A,2026-08-28
858,B,2026-08-08
859,B,2026-08-29
860,A,2026-08-09
861,B,2026-08-07
862,A,2026-08-01
863,A,2026-08-03
864,B,2026-08-13
865,A,2026-08-28
866,B,2026-08-30
867,A,2026-08-25
868,B,2026-08-28
869,B,2026-08-17
870,A,2026-08-25
871,B,2026-08-24
872,A,2026-08-01
873,A,2026-08-06
874,B,2026-08-21
875,B,2026-08-06
876,B,2026-08-26
877,B,2026-08-12
878,B,2026-08-13
879,A,2026-08-13
880,A,2026-08-29
881,A,2026-08-15
882,A,2026-08-21
883,B,2026-08-16
884,A,2026-08-22
885,B,2026-08-21
886,A,2026-08-11
887,A,2026-08-28
888,A,2026-08-05
889,A,2026-08-04
890,B,2026-08-03
891,A,2026-08-19
892,B,2026-08-20
893,B,2026-08-25
894,B,2026-08-18
895,B,2026-08-15
896,A,2026-08-09
897,B,2026-08-17
898,B,2026-08-14
899,A,2026-08-15
900,B,2026-08-01
901,B,2026-08-21
902,B,2026-08-22
903,A,2026-08-22
904,B,2026-08-03
905,A,2026-08-16
906,B,2026-08-23
907,A,2026-08-25
908,B,2026-08-11
909,B,2026-08-12
910,B,2026-08-10
911,A,2026-08-16
912,B,2026-08-08
913,A,2026-08-06
914,A,2026-08-12
915,A,2026-08-24
916,B,2026-08-28
917,B,2026-08-21
918,B,2026-08-08
919,B,2026-08-26
920,B,2026-08-28
921,B,2026-08-04
922,B,2026-08-26
923,A,2026-08-08
924,A,2026-08-26
925,B,2026-08-28
926,A,2026-08-18
927,A,2026-08-28
928,A,2026-08-28
929,A,2026-08-05
930,B,2026-08-09
931,B,2026-08-04
932,A,2026-08-27
933,B,2026-08-22
934,B,2026-08-17
935,A,2026-08-09
936,A,2026-08-01
937,B,2026-08-21
938,A,2026-08-20
939,A,2026-08-13
940,B,2026-08-28
941,B,2026-08-16
942,B,2026-08-29
943,B,2026-08-13
944,B,2026-08-14
945,B,2026-08-03
946,B,2026-08-29
947,A,2026-08-06
948,A,2026-08-18
949,A,2026-08-19
950,A,2026-08-05
951,A,2026-08-15
952,A,2026-08-25
953,A,2026-08-02
954,B,2026-08-10
955,A,2026-08-24
956,A,2026-08-30
957,B,2026-08-18
958,A,2026-08-27
959,A,2026-08-13
960,A,2026-08-05
961,A,2026-08-23
962,A,2026-08-24
963,A,2026-08-01
964,A,2026-08-22
965,B,2026-08-01
966,A,2026-08-18
967,A,2026-08-15
968,A,2026-08-17
969,A,2026-08-11
970,B,2026-08-21
971,A,2026-08-26
972,A,2026-08-25
973,B,2026-08-22
974,B,2026-08-27
975,B,2026-08-27
976,B,2026-08-17
977,B,2026-08-13
978,A,2026-08-01
979,B,2026-08-02
980,A,2026-08-09
981,B,2026-08-03
982,B,2026-08-01
983,A,2026-08-21
984,A,2026-08-16
985,A,2026-08-23
986,A,2026-08-06
987,B,2026-08-28
988,B,2026-08-17
989,B,2026-08-05
990,B,2026-08-05
991,A,2026-08-06
992,A,2026-08-03
993,A,2026-08-21
994,B,2026-08-23
995,B,2026-08-05
996,A,2026-08-21
997,B,2026-08-05
998,A,2026-08-10
999,B,2026-08-10
1000,B,2026-08-19
1001,A,2026-08-17
1002,A,2026-08-21
1003,A,2026-08-14
1004,A,2026-08-09
1005,A,2026-08-14
1006,A,2026-08-01
1007,A,2026-08-19
1008,A,2026-08-13
1009,B,2026-08-13
1010,B,2026-08-04
1011,A,2026-08-30
1012,B,2026-08-01
1013,A,2026-08-17
1014,B,2026-08-08
1015,A,2026-08-02
1016,B,2026-08-28
1017,B,2026-08-08
1018,A,2026-08-07
1019,A,2026-08-26
1020,B,2026-08-26
1021,A,2026-08-02
1022,A,2026-08-22
1023,B,2026-08-22
1024,B,2026-08-03
1025,B,2026-08-27
1026,A,2026-08-18
1027,A,2026-08-12
1028,B,2026-08-01
1029,B,2026-08-22
1030,B,2026-08-12
1031,A,2026-08-05
1032,B,2026-08-30
1033,B,2026-08-30
1034,B,2026-08-27
1035,B,2026-08-25
1036,B,2026-08-17
1037,A,2026-08-16
1038,B,2026-08-15
1039,A,2026-08-23
1040,B,2026-08-15
1041,B,2026-08-05
1042,A,2026-08-21
1043,B,2026-08-14
1044,A,2026-08-02
1045,B,2026-08-11
1046,A,2026-08-19
1047,A,2026-08-07
1048,A,2026-08-06
1049,A,2026-08-28
1050,A,2026-08-02
1051,A,2026-08-06
1052,A,2026-08-18
1053,A,2026-08-02
1054,A,2026-08-18
1055,A,2026-08-30
1056,A,2026-08-15
1057,B,2026-08-27
1058,B,2026-08-19
1059,A,2026-08-02
1060,A,2026-08-20
1061,A,2026-08-25
1062,B,2026-08-06
1063,B,2026-08-01
1064,B,2026-08-24
1065,B,2026-08-15
1066,A,2026-08-28
1067,B,2026-08-30
1068,B,2026-08-23
1069,B,2026-08-10
1070,A,2026-08-19
1071,A,2026-08-17
1072,A,2026-08-05
1073,A,2026-08-29
1074,A,2026-08-04
1075,A,2026-08-10
1076,A,2026-08-24
1077,B,2026-08-17
1078,B,2026-08-10
1079,B,2026-08-17
1080,A,2026-08-28
1081,A,2026-08-20
1082,A,2026-08-24
1083,A,2026-08-05
1084,B,2026-08-02
1085,A,2026-08-06
1086,B,2026-08-21
1087,B,2026-08-02
1088,B,2026-08-13
1089,B,2026-08-30
1090,B,2026-08-11
1091,B,2026-08-11
1092,B,2026-08-16
1093,B,2026-08-11
1094,A,2026-08-19
1095,B,2026-08-15
1096,B,2026-08-25
1097,A,2026-08-23
1098,B,2026-08-23
1099,A,2026-08-16
1100,B,2026-08-11
1101,A,2026-08-22
1102,B,2026-08-16
1103,A,2026-08-08
1104,A,2026-08-04
1105,A,2026-08-08
1106,B,2026-08-04
1107,A,2026-08-24
1108,B,2026-08-25
1109,B,2026-08-03
1110,B,2026-08-03
1111,A,2026-08-27
1112,B,2026-08-29
1113,B,2026-08-18
1114,B,2026-08-29
1115,A,2026-08-26
1116,B,2026-08-19
1117,A,2026-08-19
1118,A,2026-08-21
1119,A,2026-08-05
1120,B,2026-08-18
1121,B,2026-08-28
1122,B,2026-08-10
1123,A,2026-08-29
1124,B,2026-08-22
1125,A,2026-08-21
1126,A,2026-08-06
1127,A,2026-08-01
1128,B,2026-08-05
1129,A,2026-08-09
1130,B,2026-08-12
1131,A,2026-08-26
1132,A,2026-08-14
1133,A,2026-08-02
1134,A,2026-08-17
1135,A,2026-08-14
1136,B,2026-08-26
1137,A,2026-08-13
1138,A,2026-08-27
1139,A,2026-08-09
1140,A,2026-08-26
1141,A,2026-08-25
1142,B,2026-08-15
1143,A,2026-08-25
1144,A,2026-08-22
1145,A,2026-08-15
1146,B,2026-08-24
1147,B,2026-08-30
1148,B,2026-08-11
1149,B,2026-08-16
1150,A,2026-08-29
1151,A,2026-08-17
1152,A,2026-08-26
1153,B,2026-08-04
1154,A,2026-08-01
1155,A,2026-08-08
1156,A,2026-08-17
1157,B,2026-08-03
1158,B,2026-08-29
1159,A,2026-08-20
1160,B,2026-08-15
1161,B,2026-08-15
1162,A,2026-08-24
1163,B,2026-08-22
1164,B,2026-08-14
1165,B,2026-08-26
1166,A,2026-08-28
1167,B,2026-08-23
1168,B,2026-08-14
1169,B,2026-08-24
1170,A,2026-08-02
1171,B,2026-08-13
1172,A,2026-08-26
1173,B,2026-08-14
1174,A,2026-08-27
1175,A,2026-08-24
1176,B,2026-08-19
1177,B,2026-08-07
1178,B,2026-08-03
1179,B,2026-08-15
1180,A,2026-08-23
1181,B,2026-08-14
1182,B,2026-08-11
1183,A,2026-08-15
1184,B,2026-08-28
1185,B,2026-08-13
1186,A,2026-08-18
1187,A,2026-08-26
1188,A,2026-08-06
1189,B,2026-08-03
1190,A,2026-08-19
1191,A,2026-08-15
1192,B,2026-08-25
1193,A,2026-08-23
1194,B,2026-08-05
1195,A,2026-08-28
1196,B,2026-08-10
1197,A,2026-08-07
1198,B,2026-08-25
1199,A,2026-08-17
1200,B,2026-08-07
1201,A,2026-08-22
1202,A,2026-08-26
1203,B,2026-08-30
1204,B,2026-08-12
1205,B,2026-08-25
1206,A,2026-08-17
1207,B,2026-08-13
1208,A,2026-08-20
1209,A,2026-08-25
1210,A,2026-08-04
1211,A,2026-08-10
1212,B,2026-08-03
1213,B,2026-08-09
1214,B,2026-08-13
1215,B,2026-08-18
1216,A,2026-08-15
1217,A,2026-08-04
1218,A,2026-08-15
1219,B,2026-08-22
1220,B,2026-08-02
1221,B,2026-08-15
1222,A,2026-08-08
1223,A,2026-08-08
1224,A,2026-08-17
1225,A,2026-08-12
1226,B,2026-08-19
1227,A,2026-08-10
1228,A,2026-08-09
1229,A,2026-08-05
1230,A,2026-08-06
1231,B,2026-08-20
1232,A,2026-08-26
1233,A,2026-08-02
1234,B,2026-08-27
1235,B,2026-08-24
1236,A,2026-08-27
1237,A,2026-08-13
1238,B,2026-08-06
1239,B,2026-08-05
1240,B,2026-08-25
1241,A,2026-08-01
1242,B,2026-08-21
1243,B,2026-08-22
1244,A,2026-08-21
1245,B,2026-08-06
1246,A,2026-08-06
1247,B,2026-08-23
